id,type,item,item_id,amount,x,y,z,area,state
609,material,Bleeker_Antenna,188,2,-735.93,88.16,-140.42,,confirmed
607,material,Bleeker_Antenna,188,2,-441.02,92.38,-90.73,,needs check
603,material,Bleeker_Antenna,188,1,-379.51,52.27,805.29,,confirmed
304,material,Bleeker_Antenna,188,2,-54.15,65.06,53.92,,confirmed
610,material,Bleeker_Antenna,188,3,140.85,37.9719,654.8,,confirmed
602,material,Bleeker_Antenna,188,1,186,36.33,335.43,,needs check
605,material,Bleeker_Antenna,188,2,328.199,85.3167,69.6567,,needs check
606,material,Bleeker_Antenna,188,2,420.028,32.0558,649.894,,confirmed
604,material,Bleeker_Antenna,188,1,598.156,42.1733,448.181,,confirmed
608,material,Bleeker_Antenna,188,2,603.838,32.941,-242.365,,needs check
