id,type,item,item_id,amount,x,y,z,area,state
181,material,Toothstone,55,3,9.19,39.42,508.2,,amount
556,material,Toothstone,55,1,141.828,36.4563,430.652,,needs check / amount
557,material,Toothstone,55,1,152.554,36.3819,259.877,,needs check / amount
558,material,Toothstone,55,1,183.31,34.19,382.57,,needs check / amount
263,material,Toothstone,55,2,213.34,34.75,566.2,,amount
256,material,Toothstone,55,1,217.588,37.9761,185.576,,amount
559,material,Toothstone,55,2,236.38,38.1,416.27,,needs check / amount
264,material,Toothstone,55,3,248.267,40.9929,526.152,,amount
560,material,Toothstone,55,1,276.2,37.27,259.45,,needs check / amount
561,material,Toothstone,55,1,279.216,35.7623,187.927,,needs check / amount
562,material,Toothstone,55,1,304.94,35.44,645,,amount
563,material,Toothstone,55,1,323.31,37.54,565.78,,amount
564,material,Toothstone,55,1,376.64,36.8,539.53,,amount
169,material,Toothstone,55,2,451.71,35.18,495.33,,amount
164,material,Toothstone,55,1,620.59,41.04,453.64,,amount
