id,type,item,item_id,amount,x,y,z,area,state
new,food,AnuraShroom,67,2,-157.82,26.63,777.6,,added
582,food,AnuraShroom,67,2,37.2439,38.3754,456.862,,needs check / amount
579,food,AnuraShroom,67,1,80.7961,34.0377,620.036,,amount
583,food,AnuraShroom,67,3,98.8989,34.6735,356.612,,needs check / amount
580,food,AnuraShroom,67,2,120.01,35.1788,422.016,,needs check / amount
177,food,AnuraShroom,67,3,174.696,35.686,684.703,,amount
575,food,AnuraShroom,67,1,189.65,35.0565,470.815,,needs check / amount
262,food,AnuraShroom,67,1,190.241,34.7615,569.426,,amount
576,food,AnuraShroom,67,1,233.724,34.5697,321.252,,needs check / amount
577,food,AnuraShroom,67,1,254.828,34.2826,375.176,,needs check / amount
581,food,AnuraShroom,67,2,266.95,47.5015,104.351,,needs check / amount
305,food,AnuraShroom,67,1,318.958,36.5748,240.612,,amount
173,food,AnuraShroom,67,1,536.52,30.15,590.74,,amount
578,food,AnuraShroom,67,1,559.55,31.3776,559.282,,amount
166,food,AnuraShroom,67,2,562.617,40.5943,408.334,,amount
269,food,AnuraShroom,67,1,572.809,40.2274,425.634,,amount
